word	frequency
deserve	6780
ringing	6776
groans	6770
showed	6763
example	6759
practice	6754
weapon	6752
grandpa	6750
brown	6742
several	6738
happiness	6719
apologize	6709
monster	6709
pressure	6703
center	6689
coat	6683
silence	6663
prepare	6649
justice	6645
ours	6642
letters	6632
copy	6626
whoo	6626
market	6622
operation	6614
jerry	6601
noise	6596
knowing	6595
birds	6592
fill	6588
advice	6584
society	6582
rome	6580
russian	6575
er	6569
cream	6563
ghost	6553
exist	6546
oil	6545
jake	6541
horrible	6537
willing	6532
leader	6527
tie	6527
draw	6525
lift	6505
loud	6505
student	6499
jealous	6497
nearly	6497
post	6497
al	6493
travel	6489
surely	6487
bread	6481
recognize	6480
perfectly	6476
cards	6473
restaurant	6468
older	6463
heat	6462
weather	6458
opinion	6457
games	6450
ve	6450
cake	6447
crew	6447
character	6437
suicide	6434
telephone	6427
bucks	6424
drug	6422
pity	6417
minister	6405
although	6404
introduce	6396
brave	6392
chair	6391
gotten	6386
fantastic	6384
biggest	6381
bless	6380
noticed	6376
wet	6367
helping	6357
priest	6349
shows	6346
thy	6342
nowhere	6340
agreed	6336
meaning	6328
somehow	6328
cheering	6311
truly	6311
gate	6307
nurse	6304
towards	6297
streets	6286
r	6273
paying	6269
horn	6267
slowly	6255
naked	6247
thou	6246
local	6239
style	6225
manager	6224
soft	6222
yep	6222
suspect	6219
spring	6211
grown	6210
dropped	6209
pieces	6205
dig	6192
monsieur	6192
shake	6179
settle	6175
maria	6173
excited	6172
incredible	6170
possibly	6170
whoever	6152
handsome	6151
ends	6149
larry	6148
lonely	6146
sweetie	6146
garden	6140
stayed	6134
enter	6131
prepared	6130
saturday	6117
science	6116
weak	6115
arrested	6111
discuss	6111
powerful	6104
screw	6087
dr	6081
fate	6081
split	6073
flat	6070
opportunity	6067
proof	6062
medicine	6055
breaking	6053
jane	6046
loose	6040
gang	6031
trial	6031
speaks	6016
spanish	6003
bite	6000
medical	6000
pleased	5996
murdered	5988
afford	5982
comfortable	5977
snow	5976
bringing	5955
bright	5942
trees	5941
friday	5939
guest	5931
invited	5930
ears	5924
santa	5923
purpose	5916
career	5908
survive	5904
believed	5902
ordered	5902
threw	5898
dave	5897
destroyed	5881
hearing	5874
color	5866
laughter	5864
condition	5863
bodies	5862
mayor	5860
training	5858
manage	5855
victim	5855
finger	5849
opened	5835
pretend	5831
roof	5820
nothin	5815
file	5814
numbers	5813
suggest	5812
expecting	5811
whore	5808
lake	5807
ashamed	5804
plus	5803
turning	5803
sees	5801
whenever	5794
chattering	5787
falling	5786
spare	5769
p	5767
farm	5763
rent	5755
repeat	5750
release	5749
sugar	5746
fortune	5740
alarm	5738
students	5731
winter	5729
thousands	5728
insane	5724
base	5720
total	5717
fingers	5713
stops	5712
thief	5712
fancy	5701
hill	5701
stolen	5696
chris	5694
female	5693
sooner	5692
tongue	5692
liar	5689
target	5659
downstairs	5653
matters	5649
joy	5648
subject	5647
mail	5646
criminal	5640
client	5639
easier	5636
received	5628
cheap	5624
brings	5613
distance	5613
pulled	5613
doors	5612
credit	5606
concerned	5605
g	5599
lines	5591
selling	5588
responsibility	5585
harm	5580
castle	5572
grandfather	5570
male	5549
followed	5547
birth	5545
stomach	5545
spread	5541
storm	5530
brilliant	5529
arthur	5519
british	5517
hm	5512
opening	5512
paint	5505
slept	5504
piss	5502
lover	5497
returned	5497
hoping	5489
reality	5489
universe	5489
funeral	5488
bath	5487
contract	5486
cares	5479
taxi	5479
lately	5477
trade	5477
video	5468
ed	5467
weight	5466
disappeared	5464
thomas	5462
lied	5459
square	5451
expected	5448
march	5448
tears	5448
airport	5445
block	5445
ohh	5445
thee	5442
cigarette	5432
eggs	5421
onto	5415
program	5414
defense	5407
forest	5406
unfortunately	5399
europe	5397
pool	5391
tiny	5386
jean	5379
apparently	5375
conversation	5365
super	5363
walter	5361
nights	5357
pete	5355
signal	5351
permission	5350
thoughts	5346
murderer	5339
project	5337
signed	5333
rat	5329
mercy	5326
yellow	5325
dan	5324
checked	5319
desk	5310
covered	5307
shower	5305
simon	5303
clearly	5302
scare	5288
regret	5284
grunting	5282
buried	5279
created	5276
property	5275
remind	5273
planning	5272
merry	5267
swim	5267
pocket	5266
tickets	5260
secretary	5258
path	5254
ended	5251
aware	5249
speech	5249
burning	5248
washington	5241
drinks	5237
pair	5233
glasses	5231
ocean	5231
foreign	5226
yourselves	5225
goodness	5222
page	5221
waited	5221
audience	5217
andy	5216
runs	5213
rise	5201
research	5193
fake	5172
amen	5171
courage	5169
ate	5162
expensive	5155
pure	5155
bullet	5151
photo	5150
yelling	5145
depends	5144
social	5141
warning	5135
belongs	5133
genius	5129
desert	5124
forced	5122
realized	5115
player	5114
grave	5096
map	5092
staff	5092
vote	5085
headed	5083
success	5083
easily	5075
reasons	5064
monkey	5063
italian	5061
rough	5061
journey	5054
create	5048
personally	5046
scott	5041
harder	5038
wise	5038
discovered	5036
guests	5036
sudden	5028
silver	5027
television	5027
higher	5026
bastards	5024
breathing	5019
fought	5019
pounds	5013
fixed	5001
add	4995
political	4995
painting	4993
mountains	4992
suck	4988
lower	4987
century	4964
germany	4964
desire	4961
bro	4959
failed	4955
football	4945
monday	4939
louis	4935
badly	4922
ancient	4914
below	4914
jerk	4913
factory	4907
sending	4902
records	4899
clock	4898
william	4898
aw	4897
changes	4891
member	4888
piano	4881
lesson	4880
carefully	4875
heading	4875
gods	4867
kate	4867
rush	4867
lips	4866
tall	4865
unit	4865
safety	4864
bedroom	4859
letting	4859
fred	4854
americans	4853
disgusting	4852
adam	4848
finding	4847
therefore	4842
season	4840
points	4839
china	4836
thirty	4836
odd	4829
revenge	4829
wood	4828
clever	4827
royal	4825
divorce	4820
parts	4820
artist	4819
christian	4814
someday	4814
suffer	4805
wherever	4803
dawn	4801
rights	4800
grew	4797
nation	4793
union	4793
theory	4788
laid	4787
champagne	4786
mood	4783
useless	4777
awesome	4773
filled	4773
soup	4767
miracle	4764
officers	4764
university	4757
model	4754
hung	4750
period	4744
opens	4737
smoking	4735
toilet	4729
ear	4722
deliver	4718
babe	4717
golden	4716
hearts	4704
cheese	4701
victory	4694
plant	4690
proper	4689
planned	4685
shape	4682
showing	4679
ruin	4678
growing	4676
vacation	4673
doctors	4671
reached	4671
honour	4670
legal	4662
faces	4660
governor	4653
ruined	4653
original	4648
butt	4646
request	4644
issue	4643
refuse	4635
per	4634
carrying	4633
crash	4632
honestly	4628
bride	4626
exciting	4623
awake	4619
fellas	4609
cow	4601
load	4599
pa	4598
forces	4597
smith	4595
based	4586
grant	4583
woods	4582
suffering	4581
scream	4578
knowledge	4566
freak	4563
temple	4563
romantic	4562
decent	4556
hidden	4555
joking	4554
midnight	4550
passing	4549
younger	4546
arrive	4545
sin	4537
becomes	4534
insurance	4534
jacket	4534
kinda	4534
investigation	4532
professional	4525
millions	4522
invite	4520
bang	4519
boring	4519
wolf	4518
mirror	4517
hoo	4511
lucy	4511
fan	4510
chicago	4502
dies	4496
california	4490
alice	4488
charming	4487
walls	4487
annie	4480
saint	4477
members	4474
kevin	4470
obvious	4468
avoid	4467
bike	4466
carl	4466
assistant	4465
sat	4465
workers	4461
talent	4458
fifty	4457
touched	4453
stranger	4452
chest	4451
regular	4450
buying	4448
tear	4447
jobs	4444
particular	4442
guards	4438
recently	4422
image	4419
indian	4415
finds	4403
brian	4400
trap	4399
interview	4397
familiar	4395
burned	4392
eve	4391
celebrate	4389
memories	4382
shock	4381
details	4380
iron	4379
marie	4374
wide	4374
hunt	4372
emperor	4369
flower	4367
poison	4367
destiny	4365
prisoner	4362
anne	4360
bones	4356
matt	4356
dollar	4355
rooms	4353
owner	4351
crack	4349
brains	4346
appointment	4345
cab	4343
glory	4343
violence	4343
riding	4342
enemies	4341
chocolate	4338
meal	4337
sisters	4337
hook	4332
freeze	4329
damned	4326
candy	4325
sometime	4323
x	4320
shots	4314
raised	4311
tower	4307
grandmother	4306
ng	4305
stood	4302
bravo	4301
dust	4299
alan	4298
precious	4295
warn	4294
africa	4292
toast	4288
virgin	4288
bags	4287
appear	4285
caused	4282
pride	4276
community	4272
switch	4272
thunder	4271
pilot	4269
damage	4264
helen	4260
watched	4260
led	4258
loving	4251
changing	4250
confused	4243
rice	4241
knees	4235
coast	4229
beast	4228
lisa	4227
songs	4227
babies	4225
japan	4225
duke	4220
mentioned	4209
silent	4209
tour	4209
grateful	4204
sons	4204
daniel	4200
central	4195
traffic	4194
fourth	4193
actor	4192
official	4188
howard	4184
victor	4179
applause	4177
armed	4172
fella	4172
jeff	4172
moves	4168
palace	4166
families	4162
troops	4162
rate	4160
writer	4160
hired	4152
junior	4151
carried	4149
process	4149
committed	4147
beating	4145
phil	4145
amount	4144
percent	4144
false	4141
affair	4138
rob	4137
susan	4136
frightened	4132
license	4126
falls	4124
tied	4124
offered	4118
bull	4116
direction	4115
fallen	4115
saving	4114
knocking	4110
pussy	4108
snake	4108
cos	4107
holiday	4107
indistinct	4101
k	4101
loss	4101
theater	4101
germans	4095
mighty	4095
whistle	4094
youth	4094
smells	4093
boom	4092
lab	4092
border	4089
ordinary	4088
kicked	4087
cast	4077
mexico	4077
drove	4069
answers	4065
statement	4063
rescue	4061
sharp	4059
creature	4056
zero	4053
receive	4049
sexy	4049
borrow	4047
uniform	4046
naturally	4044
unbelievable	4044
eric	4042
humans	4042
flesh	4039
row	4039
treasure	4039
friendly	4036
jason	4036
modern	4035
score	4026
screwed	4024
neighborhood	4023
kim	4021
highness	4016
pills	4016
gee	4014
studio	4013
fail	4007
escaped	4004
positive	4004
defend	4003
tip	4003
complicated	3999
eaten	3998
darkness	3992
hunting	3992
steps	3986
disease	3981
el	3981
groaning	3980
cases	3977
climb	3976
role	3974
terrific	3974
egg	3968
event	3968
joey	3965
effect	3963
revolution	3961
seek	3961
disappear	3957
including	3956
chase	3955
chuckling	3954
shopping	3953
wave	3951
houses	3949
fed	3948
mystery	3947
blows	3942
rocks	3937
nah	3936
attorney	3935
stairs	3931
newspaper	3928
presence	3927
beloved	3924
rope	3922
delicious	3919
comrade	3907
dragon	3905
bow	3904
roy	3901
pot	3898
section	3898
pissed	3896
barely	3894
winner	3894
fishing	3890
senator	3889
aboard	3885
hated	3883
healthy	3881
julie	3881
curious	3873
mass	3871
grade	3870
leo	3867
aside	3865
bone	3864
terribly	3861
wire	3861
attacked	3860
bleeding	3860
talkin	3860
ted	3859
nasty	3857
staring	3853
yard	3848
